source_url,source_type,title,material_id,reported_active_for_co2rr,download_url,original_format,local_filename,status,notes
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=-78w29hzPhoMRhFVkEkQ_PtBKaAu,Nature Nanocluster DB,QCD Pd9 (9 atoms),QCD_-78w29hzPhoMRhFVkEkQ_PtBKaAu,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/-78w29hzPhoMRhFVkEkQ_PtBKaAu/archive,NOMAD_archive,nanocluster_Pd9_9atom.cif,downloaded_converted,QCD DFT PBE Pd9 9atom cluster. Manna Sci Data 2023.
,ioChem-BD,,nanocluster,yes,,CONTCAR,nanocluster_Pt10_10atom.cif,downloaded_converted,Pre-existing file
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=-pcryUnRnpF-dHkWHnie_DV658Dn,Nature Nanocluster DB,QCD Pt13 (13 atoms),QCD_-pcryUnRnpF-dHkWHnie_DV658Dn,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/-pcryUnRnpF-dHkWHnie_DV658Dn/archive,NOMAD_archive,nanocluster_Pt13_13atom.cif,downloaded_converted,QCD DFT PBE Pt13 13atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=-BtA6mDaPnY3S9mvlvEoiUZM9C1D,Nature Nanocluster DB,QCD Pt19 (19 atoms),QCD_-BtA6mDaPnY3S9mvlvEoiUZM9C1D,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/-BtA6mDaPnY3S9mvlvEoiUZM9C1D/archive,NOMAD_archive,nanocluster_Pt19_19atom.cif,downloaded_converted,QCD DFT PBE Pt19 19atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=-GtTVLpiLp91elepZTeOGW8OQa7z,Nature Nanocluster DB,QCD Pt23 (23 atoms),QCD_-GtTVLpiLp91elepZTeOGW8OQa7z,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/-GtTVLpiLp91elepZTeOGW8OQa7z/archive,NOMAD_archive,nanocluster_Pt23_23atom.cif,downloaded_converted,QCD DFT PBE Pt23 23atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=0dxoXcrgq0wXM3cV0g8Y3VFvVz7K,Nature Nanocluster DB,QCD Pt38 (38 atoms),QCD_0dxoXcrgq0wXM3cV0g8Y3VFvVz7K,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/0dxoXcrgq0wXM3cV0g8Y3VFvVz7K/archive,NOMAD_archive,nanocluster_Pt38_38atom.cif,downloaded_converted,QCD DFT PBE Pt38 38atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=0WAUibDoPfccvFiysnZx8apWnuF7,Nature Nanocluster DB,QCD Pt3 (3 atoms),QCD_0WAUibDoPfccvFiysnZx8apWnuF7,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/0WAUibDoPfccvFiysnZx8apWnuF7/archive,NOMAD_archive,nanocluster_Pt3_3atom.cif,downloaded_converted,QCD DFT PBE Pt3 3atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=4EFhkY8XqnwrQV_YXiQQDSEXVin9,Nature Nanocluster DB,QCD Pt4 (4 atoms),QCD_4EFhkY8XqnwrQV_YXiQQDSEXVin9,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/4EFhkY8XqnwrQV_YXiQQDSEXVin9/archive,NOMAD_archive,nanocluster_Pt4_4atom.cif,downloaded_converted,QCD DFT PBE Pt4 4atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=-Tkom3Qb0jRydi_xY47HAwrrY0Jh,Nature Nanocluster DB,QCD Pt55 (55 atoms),QCD_-Tkom3Qb0jRydi_xY47HAwrrY0Jh,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/-Tkom3Qb0jRydi_xY47HAwrrY0Jh/archive,NOMAD_archive,nanocluster_Pt55_55atom.cif,downloaded_converted,QCD DFT PBE Pt55 55atom cluster. Manna Sci Data 2023.
https://nomad-lab.eu/prod/v1/gui/search/entries?entry_id=8tZMJjtJ5yLW_HecnIs9RltBZ11i,Nature Nanocluster DB,QCD Pt5 (5 atoms),QCD_8tZMJjtJ5yLW_HecnIs9RltBZ11i,yes,https://nomad-lab.eu/prod/v1/api/v1/entries/8tZMJjtJ5yLW_HecnIs9RltBZ11i/archive,NOMAD_archive,nanocluster_Pt5_5atom.cif,downloaded_converted,QCD DFT PBE Pt5 5atom cluster. Manna Sci Data 2023.
