filename,n_atoms,composition,metal_score,d_band_proxy,active_site_score,size_score,en_score,intermediate_score,surface_ratio,total_score,label,error
zenodo_10679574_Si_cont_47.cif,42,C1 Cu39 O1 Si1,0.7833,0.8678,0.359,0.988,1.0,0.0,0.6667,60.61,likely_active,
zenodo_10679574_Si_cont_48.cif,42,C1 Cu39 O1 Si1,0.7833,0.8683,0.359,0.988,1.0,0.5,0.6667,70.62,likely_active,
zenodo_10679574_Si_cont_49.cif,42,C1 Cu39 O1 Si1,0.7833,0.8705,0.3846,0.988,1.0,0.5,0.7143,71.52,likely_active,
zenodo_10679574_Si_cont_5.cif,38,C1 Cu35 O1 Si1,0.7833,0.8984,0.4857,0.9755,1.0,0.0,0.8947,65.13,likely_active,
zenodo_10679574_Si_cont_50.cif,42,C1 Cu39 O1 Si1,0.7833,0.8717,0.3846,0.988,1.0,0.5,0.7143,71.53,likely_active,
zenodo_10679574_Si_cont_51.cif,42,C1 Cu39 O1 Si1,0.7833,0.8717,0.3846,0.988,1.0,0.5,0.7143,71.53,likely_active,
zenodo_10679574_Si_cont_52.cif,42,C1 Cu39 O1 Si1,0.7833,0.8701,0.3846,0.988,1.0,0.0,0.7143,61.51,likely_active,
zenodo_10679574_Si_cont_53.cif,42,C1 Cu39 O1 Si1,0.7833,0.8694,0.359,0.988,1.0,0.5,0.6667,70.64,likely_active,
zenodo_10679574_Si_cont_54.cif,42,C1 Cu39 O1 Si1,0.7833,0.8705,0.3846,0.988,1.0,0.5,0.7143,71.52,likely_active,
zenodo_10679574_Si_cont_55.cif,42,C1 Cu39 O1 Si1,0.7833,0.8717,0.3846,0.988,1.0,0.5,0.7143,71.53,likely_active,
zenodo_10679574_Si_cont_56.cif,42,C1 Cu39 O1 Si1,0.7833,0.8728,0.3846,0.988,1.0,0.5,0.7143,71.55,likely_active,
