filename,n_atoms,composition,metal_score,d_band_proxy,active_site_score,size_score,en_score,intermediate_score,surface_ratio,total_score,label,error
zenodo_10679574_Sc_cont_70.cif,59,C1 Cu56 O1 Sc1,0.7711,0.8775,0.2982,0.9968,1.0,0.5,0.5763,68.79,likely_active,
zenodo_10679574_Sc_cont_71.cif,59,C1 Cu56 O1 Sc1,0.7711,0.8762,0.2982,0.9968,1.0,0.0,0.5763,58.77,uncertain,
zenodo_10679574_Sc_cont_72.cif,59,C1 Cu56 O1 Sc1,0.7711,0.8766,0.2982,0.9968,1.0,0.5,0.5763,68.78,likely_active,
zenodo_10679574_Sc_cont_73.cif,59,C1 Cu56 O1 Sc1,0.7711,0.8761,0.2982,0.9968,1.0,0.0,0.5763,58.77,uncertain,
zenodo_10679574_Sc_cont_74.cif,59,C1 Cu56 O1 Sc1,0.7711,0.8766,0.2982,0.9968,1.0,0.5,0.5763,68.78,likely_active,
zenodo_10679574_Sc_cont_76.cif,59,C1 Cu56 O1 Sc1,0.7711,0.8814,0.3158,0.9968,1.0,0.0,0.6102,59.45,uncertain,
zenodo_10679574_Sc_cont_77.cif,59,C1 Cu56 O1 Sc1,0.7711,0.8814,0.3158,0.9968,1.0,0.0,0.6102,59.45,uncertain,
zenodo_10679574_Sc_cont_78.cif,59,C1 Cu56 O1 Sc1,0.7711,0.8822,0.3158,0.9968,1.0,0.0,0.6102,59.46,uncertain,
zenodo_10679574_Sc_cont_79.cif,59,C1 Cu56 O1 Sc1,0.7711,0.8826,0.3158,0.9968,1.0,0.5,0.6102,69.47,likely_active,
zenodo_10679574_Sc_cont_8.cif,38,C1 Cu35 O1 Sc1,0.7639,0.8697,0.4167,0.9792,1.0,0.5,0.7895,72.26,likely_active,
zenodo_10679574_Sc_cont_80.cif,59,C1 Cu56 O1 Sc1,0.7711,0.8826,0.3158,0.9968,1.0,0.5,0.6102,69.47,likely_active,
zenodo_10679574_Sc_cont_82.cif,59,C1 Cu56 O1 Sc1,0.7711,0.8781,0.3158,0.9968,1.0,0.0,0.6102,59.4,uncertain,
zenodo_10679574_Sc_cont_83.cif,59,C1 Cu56 O1 Sc1,0.7711,0.8789,0.3158,0.9968,1.0,0.0,0.6102,59.41,uncertain,
zenodo_10679574_Sc_cont_84.cif,59,C1 Cu56 O1 Sc1,0.7711,0.8801,0.3158,0.9968,1.0,0.5,0.6102,69.43,likely_active,
zenodo_10679574_Sc_cont_85.cif,59,C1 Cu56 O1 Sc1,0.7711,0.8801,0.3158,0.9968,1.0,0.5,0.6102,69.43,likely_active,
zenodo_10679574_Sc_cont_86.cif,59,C1 Cu56 O1 Sc1,0.7711,0.8784,0.3158,0.9968,1.0,0.0,0.6102,59.4,uncertain,
zenodo_10679574_Sc_cont_87.cif,59,C1 Cu56 O1 Sc1,0.7711,0.8784,0.3158,0.9968,1.0,0.0,0.6102,59.4,uncertain,
zenodo_10679574_Sc_cont_89.cif,38,C1 Cu35 O1 Sc1,0.7639,0.8994,0.5,0.9792,1.0,0.0,0.9474,65.54,likely_active,
zenodo_10679574_Sc_cont_9.cif,38,C1 Cu35 O1 Sc1,0.7639,0.8697,0.4167,0.9792,1.0,0.5,0.7895,72.26,likely_active,
zenodo_10679574_Sc_cont_90.cif,38,C1 Cu35 O1 Sc1,0.7639,0.8981,0.5,0.9792,1.0,0.0,0.9474,65.52,likely_active,
zenodo_10679574_Sc_cont_91.cif,38,C1 Cu35 O1 Sc1,0.7639,0.8969,0.5,0.9792,1.0,0.5,0.9474,75.5,likely_active,
zenodo_10679574_Sc_cont_93.cif,38,C1 Cu35 O1 Sc1,0.7639,0.8821,0.4167,0.9792,1.0,0.0,0.7895,62.45,likely_active,
zenodo_10679574_Sc_cont_94.cif,38,C1 Cu35 O1 Sc1,0.7639,0.8747,0.3611,0.9792,1.0,0.0,0.6842,60.45,likely_active,
zenodo_10679574_Sc_cont_95.cif,38,C1 Cu35 O1 Sc1,0.7639,0.8747,0.3333,0.9792,1.0,0.5,0.6316,69.51,likely_active,
zenodo_10679574_Sc_cont_96.cif,38,C1 Cu35 O1 Sc1,0.7639,0.8747,0.3611,0.9792,1.0,0.0,0.6842,60.45,likely_active,
